"STATISTIC","Statistic Label","TLIST(A1)","Year","C01940V02373","Form of Ceremony","UNIT","VALUE"
"VSA42C01","Average Age of Groom","2000","2000","-","All ceremonies","Years","32.1"
"VSA42C01","Average Age of Groom","2000","2000","1","Roman Catholic","Years","31.1"
"VSA42C01","Average Age of Groom","2000","2000","2","Church of Ireland","Years","32.5"
"VSA42C01","Average Age of Groom","2000","2000","3","Presbyterian","Years","32.7"
"VSA42C01","Average Age of Groom","2000","2000","7","Other religious denominations","Years","31.1"
"VSA42C01","Average Age of Groom","2000","2000","8","Civil marriages","Years","37"
"VSA42C01","Average Age of Groom","2000","2000","9","The Humanist Association","Years","0"
"VSA42C01","Average Age of Groom","2000","2000","10","The Spiritualist Union of Ireland","Years","0"
"VSA42C01","Average Age of Groom","2001","2001","-","All ceremonies","Years","32.2"
"VSA42C01","Average Age of Groom","2001","2001","1","Roman Catholic","Years","31.2"
"VSA42C01","Average Age of Groom","2001","2001","2","Church of Ireland","Years","33"
"VSA42C01","Average Age of Groom","2001","2001","3","Presbyterian","Years","31.9"
"VSA42C01","Average Age of Groom","2001","2001","7","Other religious denominations","Years","33"
"VSA42C01","Average Age of Groom","2001","2001","8","Civil marriages","Years","36.2"
"VSA42C01","Average Age of Groom","2001","2001","9","The Humanist Association","Years","0"
"VSA42C01","Average Age of Groom","2001","2001","10","The Spiritualist Union of Ireland","Years","0"
"VSA42C01","Average Age of Groom","2002","2002","-","All ceremonies","Years","32.5"
"VSA42C01","Average Age of Groom","2002","2002","1","Roman Catholic","Years","31.6"
"VSA42C01","Average Age of Groom","2002","2002","2","Church of Ireland","Years","33.2"
"VSA42C01","Average Age of Groom","2002","2002","3","Presbyterian","Years","33.8"
"VSA42C01","Average Age of Groom","2002","2002","7","Other religious denominations","Years","31.4"
"VSA42C01","Average Age of Groom","2002","2002","8","Civil marriages","Years","36.4"
"VSA42C01","Average Age of Groom","2002","2002","9","The Humanist Association","Years",""
"VSA42C01","Average Age of Groom","2002","2002","10","The Spiritualist Union of Ireland","Years",""
"VSA42C01","Average Age of Groom","2003","2003","-","All ceremonies","Years","32.7"
"VSA42C01","Average Age of Groom","2003","2003","1","Roman Catholic","Years","31.7"
"VSA42C01","Average Age of Groom","2003","2003","2","Church of Ireland","Years","34.4"
"VSA42C01","Average Age of Groom","2003","2003","3","Presbyterian","Years","33.4"
"VSA42C01","Average Age of Groom","2003","2003","7","Other religious denominations","Years","33"
"VSA42C01","Average Age of Groom","2003","2003","8","Civil marriages","Years","36.1"
"VSA42C01","Average Age of Groom","2003","2003","9","The Humanist Association","Years","0"
"VSA42C01","Average Age of Groom","2003","2003","10","The Spiritualist Union of Ireland","Years","0"
"VSA42C01","Average Age of Groom","2004","2004","-","All ceremonies","Years","33"
"VSA42C01","Average Age of Groom","2004","2004","1","Roman Catholic","Years","31.9"
"VSA42C01","Average Age of Groom","2004","2004","2","Church of Ireland","Years","33.1"
"VSA42C01","Average Age of Groom","2004","2004","3","Presbyterian","Years","33.7"
"VSA42C01","Average Age of Groom","2004","2004","7","Other religious denominations","Years","30.3"
"VSA42C01","Average Age of Groom","2004","2004","8","Civil marriages","Years","37"
"VSA42C01","Average Age of Groom","2004","2004","9","The Humanist Association","Years",""
"VSA42C01","Average Age of Groom","2004","2004","10","The Spiritualist Union of Ireland","Years",""
"VSA42C01","Average Age of Groom","2005","2005","-","All ceremonies","Years","33.1"
"VSA42C01","Average Age of Groom","2005","2005","1","Roman Catholic","Years","32"
